system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after
Jet,8,scenario,0.5,511,256,8,167,84,8,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.00022212855519609178,0.00023254428098998681
Exponential,4,scenario,0.001,31,16,4,23,12,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.05990063360661618,0.06138873196249982
Exponential,4,scenario,0.01,31,16,4,23,12,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.05990063360661618,0.06138873196249982
Exponential,4,scenario,0.05,31,16,4,23,12,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.05990063360661618,0.06138873196249982
Exponential,4,scenario,0.1,31,16,4,23,12,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.05990063360661618,0.06138873196249982
Exponential,4,scenario,0.5,31,16,4,21,11,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.06004130144178943,0.06151358057874076
Exponential,6,scenario,0.001,127,64,6,85,43,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.0358894692332099,0.03622062445506348
Exponential,6,scenario,0.01,127,64,6,85,43,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.0358894692332099,0.03622062445506348
Exponential,6,scenario,0.05,127,64,6,85,43,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.0358894692332099,0.03622062445506348
Exponential,6,scenario,0.1,127,64,6,85,43,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.0358894692332099,0.03622062445506348
Exponential,6,scenario,0.5,127,64,6,85,43,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.0358894692332099,0.03622062445506348
Exponential,8,scenario,0.001,509,255,8,153,77,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.020290307674083477,0.02021675300406858
Exponential,8,scenario,0.01,509,255,8,153,77,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.020290307674083477,0.02021675300406858
Exponential,8,scenario,0.05,509,255,8,153,77,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.020290307674083477,0.02021675300406858
Exponential,8,scenario,0.1,509,255,8,153,77,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.020290307674083477,0.02021675300406858
Exponential,8,scenario,0.5,509,255,8,153,77,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.020290307674083477,0.02021675300406858
NL1,4,scenario,0.001,31,16,4,31,16,4,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.006597042706425139,0.006474522060129317
NL1,4,scenario,0.01,31,16,4,31,16,4,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.006597042706425139,0.006474522060129317
NL1,4,scenario,0.05,31,16,4,23,12,4,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.010587244608421366,0.01026225768625164
NL1,4,scenario,0.1,31,16,4,23,12,4,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.010587244608421366,0.01026225768625164
NL1,4,scenario,0.5,31,16,4,23,12,4,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.010587244608421366,0.01026225768625164
NL1,6,scenario,0.001,127,64,6,111,56,6,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.004631524939601891,0.004552445910874978
NL1,6,scenario,0.01,127,64,6,81,41,6,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.005667396003094064,0.0054722462407331505
NL1,6,scenario,0.05,127,64,6,81,41,6,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.005667396003094064,0.0054722462407331505
NL1,6,scenario,0.1,127,64,6,81,41,6,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.005667396003094064,0.0054722462407331505
NL1,6,scenario,0.5,127,64,6,81,41,6,0.02671840772764482,0.02713810349958993,0.0035687773342683695,0.003631312206946887,0.005667396003094064,0.0054722462407331505
NL1,8,scenario,0.001,511,256,8,219,110,8,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.004149938616388551,0.004114915310127738
NL1,8,scenario,0.01,511,256,8,219,110,8,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.004149938616388551,0.004114915310127738
NL1,8,scenario,0.05,511,256,8,219,110,8,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.004149938616388551,0.004114915310127738
NL1,8,scenario,0.1,511,256,8,219,110,8,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.004149938616388551,0.004114915310127738
NL1,8,scenario,0.5,511,256,8,219,110,8,0.012571698552209605,0.01367279287239478,0.0016721125457935877,0.0019824910900457684,0.004149938616388551,0.004114915310127738
NL2,4,scenario,0.001,31,16,4,27,14,4,0.06344430841501972,0.06413516378478407,0.0308219721151606,0.030570047478393085,0.0309477906355423,0.03069399334945195
NL2,4,scenario,0.01,31,16,4,27,14,4,0.06344430841501972,0.06413516378478407,0.0308219721151606,0.030570047478393085,0.0309477906355423,0.03069399334945195
NL2,4,scenario,0.05,31,16,4,27,14,4,0.06344430841501972,0.06413516378478407,0.0308219721151606,0.030570047478393085,0.0309477906355423,0.03069399334945195
NL2,4,scenario,0.1,31,16,4,27,14,4,0.06344430841501972,0.06413516378478407,0.0308219721151606,0.030570047478393085,0.0309477906355423,0.03069399334945195
NL2,4,scenario,0.5,31,16,4,21,11,4,0.06344430841501972,0.06413516378478407,0.0308219721151606,0.030570047478393085,0.030947999662389713,0.030694201993072563
NL2,6,scenario,0.001,127,64,6,115,58,6,0.03234633246114824,0.032869546075557525,0.017094239264061117,0.016851231138659946,0.017634332069537805,0.017344882653969426
NL2,6,scenario,0.01,127,64,6,107,54,6,0.03234633246114824,0.032869546075557525,0.017094239264061117,0.016851231138659946,0.017634365419113566,0.017344914564979365
NL2,6,scenario,0.05,127,64,6,107,54,6,0.03234633246114824,0.032869546075557525,0.017094239264061117,0.016851231138659946,0.017634365419113566,0.017344914564979365
NL2,6,scenario,0.1,127,64,6,107,54,6,0.03234633246114824,0.032869546075557525,0.017094239264061117,0.016851231138659946,0.017634365419113566,0.017344914564979365
NL2,6,scenario,0.5,127,64,6,107,54,6,0.03234633246114824,0.032869546075557525,0.017094239264061117,0.016851231138659946,0.017634365419113566,0.017344914564979365
NL2,8,scenario,0.001,511,256,8,183,92,8,0.016464132944107413,0.018002135191060906,0.00919981121032587,0.008978163196040233,0.010513878047619236,0.010450039272573718
NL2,8,scenario,0.01,511,256,8,181,91,8,0.016464132944107413,0.018002135191060906,0.00919981121032587,0.008978163196040233,0.010513878808180487,0.010450040805008599
NL2,8,scenario,0.05,511,256,8,181,91,8,0.016464132944107413,0.018002135191060906,0.00919981121032587,0.008978163196040233,0.010513878808180487,0.010450040805008599
NL2,8,scenario,0.1,511,256,8,181,91,8,0.016464132944107413,0.018002135191060906,0.00919981121032587,0.008978163196040233,0.010513878808180487,0.010450040805008599
NL2,8,scenario,0.5,511,256,8,181,91,8,0.016464132944107413,0.018002135191060906,0.00919981121032587,0.008978163196040233,0.010513878808180487,0.010450040805008599
Tank,4,scenario,0.001,31,16,4,31,16,4,0.3337571808685012,0.3481346572348656,0.0014755175680914699,0.001665492909962116,0.0014755175680914699,0.001665492909962116
Tank,4,scenario,0.01,31,16,4,27,14,4,0.3337571808685012,0.3481346572348656,0.0014755175680914699,0.001665492909962116,0.004212146634999724,0.004624644800862011
Tank,4,scenario,0.05,31,16,4,27,14,4,0.3337571808685012,0.3481346572348656,0.0014755175680914699,0.001665492909962116,0.004212146634999724,0.004624644800862011
Tank,4,scenario,0.1,31,16,4,27,14,4,0.3337571808685012,0.3481346572348656,0.0014755175680914699,0.001665492909962116,0.004212146634999724,0.004624644800862011
Tank,4,scenario,0.5,31,16,4,9,5,3,0.3337571808685012,0.3481346572348656,0.0014755175680914699,0.001665492909962116,0.011961197504079684,0.013039730406566726
Tank,6,scenario,0.001,127,64,6,103,52,6,0.3341521283426454,0.3481645181884127,0.00014785964620253,0.00012986550484424955,0.0014462970068290972,0.0016369584682087454
Tank,6,scenario,0.01,127,64,6,103,52,6,0.3341521283426454,0.3481645181884127,0.00014785964620253,0.00012986550484424955,0.0014462970068290972,0.0016369584682087454
Tank,6,scenario,0.05,127,64,6,103,52,6,0.3341521283426454,0.3481645181884127,0.00014785964620253,0.00012986550484424955,0.0014462970068290972,0.0016369584682087454
Tank,6,scenario,0.1,127,64,6,103,52,6,0.3341521283426454,0.3481645181884127,0.00014785964620253,0.00012986550484424955,0.0014462970068290972,0.0016369584682087454
Tank,6,scenario,0.5,127,64,6,103,52,6,0.3341521283426454,0.3481645181884127,0.00014785964620253,0.00012986550484424955,0.0014462970068290972,0.0016369584682087454
Tank,8,scenario,0.001,511,256,8,281,141,8,0.33417679301736875,0.348091734044061,4.870693649359021e-05,4.875008220562473e-05,0.0004614732463521494,0.00048131901911604367
