system_name,max_depth,cost_function,alpha,nodes_before,leaves_before,depth_before,nodes_after,leaves_after,depth_after,NRMSE_Train_Tree,NRMSE_Test_Tree,NRMSE_Train_Affine_before,NRMSE_Test_Affine_before,NRMSE_Train_Affine_after,NRMSE_Test_Affine_after
Jet,8,average,0.1,511,256,8,3,2,1,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.013038635499529876,0.013188888135438151
Jet,8,average,0.5,511,256,8,3,2,1,0.009990226224572511,0.011560442040821961,9.157398066220732e-05,0.0001071235526241635,0.013038635499529876,0.013188888135438151
Exponential,4,basic,0.001,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846
Exponential,4,basic,0.01,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846
Exponential,4,basic,0.05,31,16,4,15,8,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.056230484387859284,0.057648032539416014
Exponential,4,basic,0.1,31,16,4,15,8,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.056230484387859284,0.057648032539416014
Exponential,4,basic,0.5,31,16,4,1,1,0,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.15218603663736263,0.15464637430569064
Exponential,4,average,0.001,31,16,4,27,14,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.055660664697839105,0.05712888648905846
Exponential,4,average,0.01,31,16,4,21,11,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.05595562937470404,0.05739344851926332
Exponential,4,average,0.05,31,16,4,15,8,4,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.056230484387859284,0.057648032539416014
Exponential,4,average,0.1,31,16,4,11,6,3,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.06043048639852314,0.06187214555960937
Exponential,4,average,0.5,31,16,4,5,3,2,0.07192057509781773,0.07333256395709116,0.05521320189128498,0.05670169506545432,0.13452162645981994,0.1365914389831196
Exponential,6,basic,0.001,127,64,6,87,44,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.02291651019940015,0.023363999933153592
Exponential,6,basic,0.01,127,64,6,65,33,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.023080185644762215,0.023530016433555612
Exponential,6,basic,0.05,127,64,6,47,24,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.028905190984879675,0.029166976081648914
Exponential,6,basic,0.1,127,64,6,39,20,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.030748698618004628,0.030836752174794885
Exponential,6,basic,0.5,127,64,6,1,1,0,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.15218603663736263,0.15464637430569064
Exponential,6,average,0.001,127,64,6,65,33,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.023080185644762215,0.023530016433555612
Exponential,6,average,0.01,127,64,6,35,18,6,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.031512662211141344,0.031560934242431164
Exponential,6,average,0.05,127,64,6,15,8,4,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.056230484387859284,0.057648032539416014
Exponential,6,average,0.1,127,64,6,11,6,3,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.06043048639852314,0.06187214555960937
Exponential,6,average,0.5,127,64,6,5,3,2,0.04093334598798284,0.04076836523475449,0.02291059447907194,0.02335767389746205,0.13452162645981994,0.1365914389831196
Exponential,8,basic,0.001,509,255,8,119,60,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014335483370916757,0.01463320037705545
Exponential,8,basic,0.01,509,255,8,91,46,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.014623618921809986,0.014926336372031277
Exponential,8,basic,0.05,509,255,8,53,27,7,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.028037218243823808,0.02825701742780051
Exponential,8,basic,0.1,509,255,8,39,20,6,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.030748698618004628,0.030836752174794885
Exponential,8,basic,0.5,509,255,8,1,1,0,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.15218603663736263,0.15464637430569064
Exponential,8,average,0.001,509,255,8,71,36,8,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.020945084313530305,0.02104662877968058
Exponential,8,average,0.01,509,255,8,35,18,6,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.031512662211141344,0.031560934242431164
Exponential,8,average,0.05,509,255,8,15,8,4,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.056230484387859284,0.057648032539416014
Exponential,8,average,0.1,509,255,8,11,6,3,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.06043048639852314,0.06187214555960937
Exponential,8,average,0.5,509,255,8,5,3,2,0.020614083882149112,0.022182137115551896,0.014060832466454204,0.015741328550105516,0.13452162645981994,0.1365914389831196
NL1,4,basic,0.001,31,16,4,15,8,3,0.05399569220659876,0.054546515035125316,0.006597042706425139,0.006474522060129317,0.010592908279340696,0.01026819149756859
